"spotcode","dt_bg","dt_ed","trade_args_ids","dt_validate_bg","dt_validate_ed","avg_cnt","avg_spp","avg_spl","avg_cnt_validate","avg_spp_validate","avg_spp_validate_cum","avg_spl_validate","avg_spl_validate_cum"
"159915","2024-12-30","2025-01-05","1400,1435,1375,1399,1411,1412,1363,1364,1376,1436","2025-01-06","2025-01-12","2.0",".0492",".0498",".0",".0000",".0000",".0000",".0000"
"159915","2025-01-06","2025-01-12","876,879,873,875,877,878,871,872,874,880","2025-01-13","2025-01-19","5.0",".0196",".0196","5.6",".0242",".0242",".0240",".0240"
"159915","2025-01-13","2025-01-19","5286,5272,5274,5285,5284,5273,308,6,309,5","2025-01-20","2025-01-26","5.0",".0631",".0639","6.8","-.0097",".0145","-.0097",".0140"
"159915","2025-01-20","2025-01-26","871,835,877,866,878,865,841,842,1180,829","2025-01-27","2025-02-02","3.8",".0220",".0221","1.0",".0193",".0338",".0193",".0336"
"159915","2025-01-27","2025-02-02","426,438,414,425,436,437,412,413,424,448","2025-02-03","2025-02-09","1.0",".0198",".0198","3.0",".0151",".0489",".0151",".0492"
"159915","2025-02-03","2025-02-09","3919,3920,3921,3918,3916,3917,3925,3922,3923,3924","2025-02-10","2025-02-16","2.9",".0530",".0538","4.4",".0258",".0747",".0259",".0764"
"159915","2025-02-10","2025-02-16","4733,4734,4732,6217,6230,6229,6231,6219,6218,4329","2025-02-17","2025-02-23","3.4",".0360",".0364","6.0",".0280",".1027",".0280",".1066"
"159915","2025-02-17","2025-02-23","4063,4064,4469,4468,4100,4099,2725,4066,4067,3130","2025-02-24","2025-03-02","6.3",".0479",".0487","5.8",".0098",".1124",".0095",".1171"
"159915","2025-02-24","2025-03-02","5425,503,418,454,490,467,455,419,431,491","2025-03-03","2025-03-09","5.1",".0252",".0251","3.8","-.0048",".1077","-.0048",".1117"
"159915","2025-03-03","2025-03-09","5132,5131,5133,1927,1928,1929,6751,6752,6753,6787","2025-03-10","2025-03-16","4.3",".0237",".0239","6.0",".0150",".1226",".0147",".1280"
"159915","2025-03-10","2025-03-16","6309,6284,6285,6283,6297,62,61,63,2921,2908","2025-03-17","2025-03-23","3.8",".0329",".0331","3.4",".0120",".1346",".0120",".1415"
"159915","2025-03-17","2025-03-23","6970,6971,6982,6983,5497,5326,5362,2933,2921,2920","2025-03-24","2025-03-30","4.2",".0209",".0210","5.3","-.0118",".1229","-.0117",".1281"
"159915","2025-03-24","2025-03-30","4075,4076,4077,4147,4148,4149,872,871,873,859","2025-03-31","2025-04-06","5.3",".0065",".0065","3.9",".0086",".1314",".0085",".1377"
"159915","2025-03-31","2025-04-06","1812,1810,1811,4236,4235,4234,4239,4237,4238,30","2025-04-07","2025-04-13","4.0",".0233",".0235","5.1",".0890",".2204",".0904",".2405"
"159915","2025-04-07","2025-04-13","1491,1494,1488,1490,1492,1493,1486,1487,1489,1498","2025-04-14","2025-04-20","5.0",".1010",".1030","4.0",".0033",".2238",".0033",".2446"
"159915","2025-04-14","2025-04-20","5292,5295,5561,6812,6799,6800,5283,5280,5269,5270","2025-04-21","2025-04-27","5.5",".0129",".0128","4.1",".0099",".2337",".0099",".2569"
"159915","2025-04-21","2025-04-27","4186,4188,4187,4592,4593,4591,3929,3928,3916,3917","2025-04-28","2025-05-04","4.4",".0258",".0259","3.0",".0029",".2366",".0029",".2606"
"159915","2025-04-28","2025-05-04","4226,4225,4227,4222,4223,4224,4238,4237,4239,2864","2025-05-05","2025-05-11","3.0",".0053",".0054","3.0",".0008",".2374",".0008",".2615"
"159915","2025-05-05","2025-05-11","4194,4188,4191,4193,4186,4187,4189,4190,4192,2443","2025-05-12","2025-05-18","3.9",".0067",".0067","5.6",".0178",".2552",".0178",".2840"
"159915","2025-05-12","2025-05-18","4407,4393,4395,4419,4394,4800,4799,4812,4798,4824","2025-05-19","2025-05-25","5.5",".0296",".0299","5.0",".0028",".2580",".0028",".2876"
"159915","2025-05-19","2025-05-25","6173,6124,6161,6137,6125,6160,4934,4933,4935,4947","2025-05-26","2025-06-01","5.0",".0106",".0105","5.0",".0221",".2801",".0223",".3163"
"159915","2025-05-26","2025-06-01","7341,7353,7329,7340,7351,7352,7327,7328,7339,6137","2025-06-02","2025-06-08","5.0",".0284",".0287","4.0","-.0123",".2677","-.0124",".3000"
"159915","2025-06-02","2025-06-08","4893,4889,4890,4892,4894,4891,4888,6751,6752,6753","2025-06-09","2025-06-15","3.3",".0104",".0105","4.4",".0061",".2739",".0061",".3079"
"159915","2025-06-09","2025-06-15","6100,5695,7315,5673,5671,5697,5672,5685,4075,3670","2025-06-16","2025-06-22","5.0",".0226",".0228","5.4",".0075",".2813",".0074",".3177"
"159915","2025-06-16","2025-06-22","7917,7929,7905,7916,7927,7928,7903,7904,7915,4520","2025-06-23","2025-06-29","4.0",".0168",".0168","4.0",".0357",".3171",".0360",".3651"
"159915","2025-06-23","2025-06-29","279,312,276,278,310,311,274,275,277,313","2025-06-30","2025-07-06","4.0",".0504",".0512","2.6",".0110",".3280",".0110",".3800"
